poet,title,dynasty,year_start,year_end,year_precision,period,historical_place,modern_city,province,lon,lat,source_name,source_url,source_note,fact_grade,status
杜甫,望岳,唐,736,736,exact,1,泰山（齐鲁）,泰安市,山东省,117.094893,36.205905,cnkgraph开放API+古诗文网创作背景,https://www.gushiwen.cn/shiwenv_efec283b31e0.aspx,cnkgraph开放API（https://open.cnkgraph.com/api/Writing/31759）作品档案系736年、MapInfo标注泰山（泰安）；其年谱：736年下第首游齐赵、望岳有诗；古诗文网创作背景：公元736年（开元二十四年）北游齐赵漫游途中所作。两源一致。2026-07-26在线核实。,B,candidate
杜甫,兵车行,唐,751,751,exact,2,长安（咸阳桥）,西安市,陕西省,108.946306,34.347436,cnkgraph开放API+古诗文网创作背景,https://www.gushiwen.cn/shiwenv_977076fa07f4.aspx,cnkgraph开放API（https://open.cnkgraph.com/api/Writing/31553）AuthorDate=751年；古诗文网创作背景：当作于唐玄宗天宝十载（751），并注明创作本事有两说（一说因用兵吐蕃、一说因杨国忠征南诏）——系年同为751而本事有争议；诗写长安咸阳桥送行，作诗地取长安。2026-07-26在线核实。,B,candidate
杜甫,春望,唐,757,757,exact,3,长安,西安市,陕西省,108.946306,34.347436,cnkgraph开放API+古诗文网创作背景,https://www.gushiwen.cn/shiwenv_89d3a63c6d7f.aspx,cnkgraph开放API（https://open.cnkgraph.com/api/Writing/30932）系757年、年谱：757年春陷贼睹曲江有感；古诗文网创作背景：至德二载（757）三月陷居长安时作。与已审核记录年份757一致（已审核记录见data/reviewed/verified_poem_contexts.csv）。2026-07-26在线核实。,B,superseded_by_verified
杜甫,石壕吏,唐,759,759,exact,3,陕州石壕村,三门峡市,河南省,111.109829,34.72676,cnkgraph开放API+古诗文网创作背景,https://www.gushiwen.cn/shiwenv_93ac46de573f.aspx,cnkgraph开放API（https://open.cnkgraph.com/api/Writing/31491）系759年、年谱：759年春自洛阳返华州途经石壕见吏强征老弱有诗；古诗文网创作背景：759年（乾元二年）春由洛阳赶往华州任所投宿石壕村所作。与已审核记录年份759一致（已审核记录见data/reviewed/verified_poem_contexts.csv）。2026-07-26在线核实。,B,superseded_by_verified
杜甫,月夜忆舍弟,唐,759,759,exact,3,秦州,天水市,甘肃省,105.731276,34.587162,cnkgraph开放API+古诗文网创作背景,https://www.gushiwen.cn/shiwenv_ad6f7cfa10c2.aspx,cnkgraph开放API（https://open.cnkgraph.com/api/Writing/30619）系759年、MapInfo标注天水（秦州）；古诗文网创作背景：唐肃宗乾元二年（759）秋杜甫在秦州所作，时史思明南下、山东河南皆处战乱。两源一致。2026-07-26在线核实。,B,candidate
杜甫,赠卫八处士,唐,759,759,exact,3,华州,渭南市华州区,陕西省,109.778378,34.518619,cnkgraph开放API+古诗文网创作背景,https://www.gushiwen.cn/shiwenv_9670cc44eef4.aspx,cnkgraph开放API（https://open.cnkgraph.com/api/Writing/31841）系759年、MapInfo标注华县（华州）；古诗文网创作背景：大概是乾元二年（759）春任华州司功参军时所作（其年三月九节度之师溃于邺城）。两源一致；一般又谓访卫八处士在自洛阳返华州途中。2026-07-26在线核实。,B,candidate
杜甫,蜀相,唐,760,760,exact,4,成都武侯祠,成都市,四川省,104.071216,30.576279,cnkgraph开放API+古诗文网创作背景,https://www.gushiwen.cn/shiwenv_625762a4b089.aspx,cnkgraph开放API（https://open.cnkgraph.com/api/Writing/31205）系760年、年谱：760年定居草堂后游武侯祠作；古诗文网创作背景：依仇兆鳌注断为760年（上元元年）春初至成都时作。与已审核记录年份760一致（已审核记录见data/reviewed/verified_poem_contexts.csv）。2026-07-26在线核实。,B,superseded_by_verified
杜甫,春夜喜雨,唐,761,761,exact,4,成都浣花草堂,成都市,四川省,104.071216,30.576279,cnkgraph开放API+古诗文网创作背景,https://www.gushiwen.cn/shiwenv_d48451f00541.aspx,cnkgraph开放API（https://open.cnkgraph.com/api/Writing/30930）现标AuthorDate=761年；古诗文网创作背景：上元二年（761）春定居草堂两年后作。已审核记录取761-762区间（审核时API另注762一说），本候选761落于审核区间内、主系年一致（已审核记录见data/reviewed/verified_poem_contexts.csv）。2026-07-26在线核实。,B,superseded_by_verified
杜甫,茅屋为秋风所破歌,唐,761,761,exact,4,成都浣花草堂,成都市,四川省,104.071216,30.576279,cnkgraph开放API+古诗文网创作背景,https://www.gushiwen.cn/shiwenv_8e9ecc95d6a4.aspx,cnkgraph开放API（https://open.cnkgraph.com/api/Writing/31620）系761年、年谱：761年草堂遭秋风破屋后作；古诗文网创作背景：唐肃宗上元二年（761）八月大风破屋、雨夜屋漏而作。与已审核记录年份761一致（已审核记录见data/reviewed/verified_poem_contexts.csv）。2026-07-26在线核实。,B,superseded_by_verified
杜甫,客至,唐,761,761,exact,4,成都浣花草堂,成都市,四川省,104.071216,30.576279,cnkgraph开放API+古诗文网创作背景,https://www.gushiwen.cn/shiwenv_2dfd92e6cd5b.aspx,cnkgraph开放API（https://open.cnkgraph.com/api/Writing/30896）现标AuthorDate=761年；古诗文网创作背景：据黄鹤《黄氏集千家注杜工部诗史补遗》系上元二年（761）春成都草堂作。已审核记录取761-764区间（审核时API标761至764年），本候选761落于审核区间内、相容（已审核记录见data/reviewed/verified_poem_contexts.csv）。2026-07-26在线核实。,B,superseded_by_verified
