poet,title,dynasty,year_start,year_end,year_precision,period,historical_place,modern_city,province,lon,lat,source_name,source_url,source_note,fact_grade,status
李清照,声声慢·寻寻觅觅,宋,1147,1147,disputed,4,临安,浙江省杭州市,浙江省,120.1551,30.2741,cnkgraph 唐宋文学编年地图·李清照年历（据徐培均《李清照年谱》）,https://cnkgraph.com/Map/PoetLife?author=%E6%9D%8E%E6%B8%85%E7%85%A7,与已审核记录一致（审核系年1147，approved）；cnkgraph年历明记1147年居临安作《声声慢》；古诗文网创作背景谓“具体写作时间待考”、有南渡后与中年两说（https://so.gushiwen.cn/shiwenv_f82821b9d569.aspx（经 so.gushiwen.cn 官方重定向站 guwendao.net 在线核实）），故标disputed,B,superseded_by_verified
李清照,一剪梅·红藕香残玉簟秋,宋,1103,1103,exact,1,东京开封府,河南省开封市,河南省,114.307581,34.797239,cnkgraph 唐宋文学编年地图·李清照年历（据徐培均《李清照年谱》）,https://cnkgraph.com/Map/PoetLife?author=%E6%9D%8E%E6%B8%85%E7%85%A7,与已审核记录一致（审核系年1103，approved）；cnkgraph年历明记“1103年7月，赵明诚出游。有词送别，作品：《一剪梅》”；古诗文网创作背景载《琅嬛记》新婚说与王仲闻驳议，谓作于1101年婚后受党争株连“时有别离”时期（https://so.gushiwen.cn/shiwenv_b7f6fef5bb0b.aspx（经 so.gushiwen.cn 官方重定向站 guwendao.net 在线核实）），与1103年说相容,B,superseded_by_verified
李清照,如梦令·昨夜雨疏风骤,宋,1100,1100,approximate,1,东京（汴京）,河南省开封市,河南省,114.35,34.79,so.gushiwen.cn 创作背景（引陈祖美《李清照简明年表》）,https://so.gushiwen.cn/shiwenv_3ffd5d0653a9.aspx,创作背景：“此词作于公元1100年（宋哲宗元符三年）前后”（经 so.gushiwen.cn 官方重定向站 guwendao.net 在线核实）；地点未言明，按cnkgraph年历其时（1090-1107）随父居开封推定，坐标取data/place_dict.py汴京,B,candidate
李清照,武陵春·春晚,宋,1135,1135,exact,4,金华（婺州）,浙江省金华市,浙江省,119.65,29.08,so.gushiwen.cn 创作背景,https://so.gushiwen.cn/shiwenv_cd236de1e210.aspx,创作背景：“这首词是公元1135年（宋高宗绍兴五年）李清照避难浙江金华时所作”（经 so.gushiwen.cn 官方重定向站 guwendao.net 在线核实）；与cnkgraph年历金华居住期1134年10月-1135年5月相合；坐标取data/place_dict.py婺州,B,candidate
李清照,如梦令·常记溪亭日暮,宋,1108,1108,disputed,2,济南（历城）,山东省济南市,山东省,117.0,36.65,cnkgraph 年历 + so.gushiwen.cn 创作背景,https://cnkgraph.com/Map/PoetLife?author=%E6%9D%8E%E6%B8%85%E7%85%A7,两说并存：cnkgraph年历记1108年“回乡探父，游西湖，有词记游溪亭”（济南历城条目）；古诗文网创作背景谓早期之作、“到达汴京之后尚未出嫁之前”（https://so.gushiwen.cn/shiwenv_3e33bfbb8f79.aspx（经 so.gushiwen.cn 官方重定向站 guwendao.net 在线核实））。此从cnkgraph系1108归第2期；若从未嫁前说则属第1期汴京时期,B,candidate
李清照,渔家傲·记梦,宋,1130,1130,exact,3,浙东海上（自明州经海道至温州途中）,浙江省温州市,浙江省,120.7,28.0,so.gushiwen.cn 创作背景（引陈祖美《李清照简明年表》）,https://so.gushiwen.cn/shiwenv_f547ff97e13f.aspx,创作背景：“宋高宗建炎四年（公元1130年）春间，李清照曾在海上航行……此词就作于建炎四年”（经 so.gushiwen.cn 官方重定向站 guwendao.net 在线核实）；cnkgraph年历记1130年2月“海道到温州”；词成于海上行程，具体地点不可确指，坐标取温州（航程抵达地，data/place_dict.py）,B,candidate
李清照,醉花阴·薄雾浓云愁永昼,宋,1108,1108,disputed,2,益都（青州）,山东省青州市,山东省,118.479636,36.6846,cnkgraph 唐宋文学编年地图·李清照年历（据徐培均《李清照年谱》）,https://cnkgraph.com/Map/PoetLife?author=%E6%9D%8E%E6%B8%85%E7%85%A7,与已审核记录一致（审核系年1108，approved）；cnkgraph年历明记“1108年9月9日，赵明诚游仰天山，清照有词思之，作品：《醉花阴》”；古诗文网创作背景则系于1103年（崇宁二年）重阳寄赵明诚（https://so.gushiwen.cn/shiwenv_324219410b89.aspx（经 so.gushiwen.cn 官方重定向站 guwendao.net 在线核实）），两说并存故标disputed,B,superseded_by_verified
李清照,夏日绝句,宋,1129,1129,exact,3,乌江（和州）,安徽省马鞍山市和县,安徽省,118.3515,31.7418,cnkgraph 年历 + so.gushiwen.cn 创作背景,https://cnkgraph.com/Map/PoetLife?author=%E6%9D%8E%E6%B8%85%E7%85%A7,cnkgraph年历：“1129年4月，舟经乌江，赋诗吊项羽、刺现实”；古诗文网创作背景述靖康之变后南渡、路过乌江有感项羽而作（https://so.gushiwen.cn/shiwenv_e4cd80aceb52.aspx（经 so.gushiwen.cn 官方重定向站 guwendao.net 在线核实）），两源相合；坐标从data/reviewed/poet_journeys.json乌江节点,B,candidate
李清照,鹧鸪天·桂花,宋,1107,1121,approximate,2,益都（青州）,山东省青州市,山东省,118.479636,36.6846,so.gushiwen.cn 创作背景,https://so.gushiwen.cn/shiwenv_d2e8215fe910.aspx,创作背景：“此词当作于宋徽宗建中靖国（1101）之后，作者与丈夫赵明诚居住青州之时”（经 so.gushiwen.cn 官方重定向站 guwendao.net 在线核实）；青州屏居据cnkgraph年历始于1107年秋、迄1121年，故取1107-1121,B,candidate
李清照,点绛唇·蹴罢秋千,宋,1100,1100,approximate,1,东京（汴京）,河南省开封市,河南省,114.35,34.79,so.gushiwen.cn 创作背景（引陈祖美《李清照简明年表》）,https://so.gushiwen.cn/shiwenv_633fa0fc3e8e.aspx,创作背景：元符三年（1100）结识张耒、晁补之及同龄诸女友，“《点绛唇·蹴罢秋千》等词应当就是作于此年前后”（经 so.gushiwen.cn 官方重定向站 guwendao.net 在线核实）；地点未言明，按其时居汴京推定,B,candidate
李清照,永遇乐·落日熔金,宋,1150,1150,approximate,4,临安,浙江省杭州市,浙江省,120.1551,30.2741,so.gushiwen.cn 创作背景,https://so.gushiwen.cn/shiwenv_ed182ae28146.aspx,创作背景：“当作于宋高宗绍兴二十年（1150）前后，是时作者居南宋都城临安（今浙江杭州）”（经 so.gushiwen.cn 官方重定向站 guwendao.net 在线核实）,B,candidate
李清照,清平乐·年年雪里,宋,1127,1156,approximate,4,,,,,,so.gushiwen.cn 创作背景,https://so.gushiwen.cn/shiwenv_8482e9aeff67.aspx,创作背景仅谓“大多研究者认为是李清照南渡后的作品……这首《清平乐》便是写于李清照晚年”，无具体年份与地点（经 so.gushiwen.cn 官方重定向站 guwendao.net 在线核实）；范围取南渡1127至卒年1156，按“晚年”暂归第4期；地点无考坐标留空,B,candidate
李清照,浣溪沙·闺情,宋,,,unknown,1,,,,,,so.gushiwen.cn 创作背景,https://so.gushiwen.cn/shiwenv_f3dcdc98faa6.aspx,未找到可靠系年：古诗文网创作背景仅谓“此词当是李清照早期作品，应该属于词人最早一批描写爱情的词作”，且载有伪托之疑，无年份地点（经 so.gushiwen.cn 官方重定向站 guwendao.net 在线核实）；按“早期”暂归第1期,D,candidate
李清照,摊破浣溪沙·病起萧萧两鬓华,宋,,,unknown,4,,,,,,so.gushiwen.cn 创作背景,https://so.gushiwen.cn/shiwenv_3b6f6da5155d.aspx,未找到可靠系年：古诗文网创作背景谓“当是李清照后期作品”“此词明确的创作时间无定论”，仅由词意推月份约在八月（经 so.gushiwen.cn 官方重定向站 guwendao.net 在线核实）；按“后期/病起”暂归第4期；地点无考,D,candidate
李清照,蝶恋花·暖雨晴风初破冻,宋,1121,1121,exact,2,益都（青州）,山东省青州市,山东省,118.479636,36.6846,so.gushiwen.cn 创作背景（引黄墨谷《重辑李清照集》）,https://so.gushiwen.cn/shiwenv_c7e5bbdc720e.aspx,创作背景：“当作于靖康之乱前赵明诚闲居故里十年后重新出仕、李清照仍独自留居青州时。黄墨谷《重辑李清照集》认为此词当作于宋徽宗宣和三年（1121）”（经 so.gushiwen.cn 官方重定向站 guwendao.net 在线核实）,B,candidate
李清照,临江仙·梅,宋,1128,1129,approximate,3,江宁（建康）,江苏省南京市,江苏省,118.78,32.06,李清照年谱通行系年（陈祖美等）（未在线核实）,https://so.gushiwen.cn/shiwenv_8cacf9e0bd42.aspx,古诗文网创作背景仅论此词真伪（陈祖美谓数阕《临江仙》应包括此首），未给出系年（经 so.gushiwen.cn 官方重定向站 guwendao.net 在线核实）；通行年谱题录以“庭院深深”数阕为南渡后建康时期（1128-1129）之作（未在线核实）；cnkgraph年历1128年2月“抵达江宁，有词咏旅邸后庭梅花”条目未具作品名，仅作旁证,C,candidate
李清照,题八咏楼,宋,1134,1135,approximate,4,金华（婺州）,浙江省金华市,浙江省,119.65,29.08,so.gushiwen.cn 创作背景,https://so.gushiwen.cn/shiwenv_bbdba9e9fd29.aspx,创作背景：“绍兴四年（1134年）九月，李清照避难金华……在金华期间，李清照作《题八咏楼》诗”（经 so.gushiwen.cn 官方重定向站 guwendao.net 在线核实）；金华居住期至1135年5月（cnkgraph年历），故取1134-1135,B,candidate
李清照,凤凰台上忆吹箫·香冷金猊,宋,1109,1109,disputed,2,益都（青州）,山东省青州市,山东省,118.479636,36.6846,cnkgraph 唐宋文学编年地图·李清照年历（据徐培均《李清照年谱》）,https://cnkgraph.com/Map/PoetLife?author=%E6%9D%8E%E6%B8%85%E7%85%A7,与已审核记录一致（审核系年1109，approved）；cnkgraph年历明记“1109年9月13日，赵明诚出游，有词抒思念之情，作品：《凤凰台上忆吹箫》”；古诗文网创作背景谓作于青州、并载刘忆萱《李清照诗词选注》约1121年赵明诚赴莱州之际一说（https://so.gushiwen.cn/shiwenv_96689ee0c664.aspx（经 so.gushiwen.cn 官方重定向站 guwendao.net 在线核实）），两说并存故标disputed,B,superseded_by_verified
李清照,减字木兰花·卖花担上,宋,1101,1101,approximate,1,汴京,河南省开封市,河南省,114.35,34.79,so.gushiwen.cn 创作背景,https://so.gushiwen.cn/shiwenv_80e72de2a240.aspx,创作背景：“此词作于公元1101年（建中靖国元年），其时词人与夫君赵明诚新婚燕尔”“赵李两家均居汴京。《减字木兰花》《庆清朝》诸阕当作于是年前后”（经 so.gushiwen.cn 官方重定向站 guwendao.net 在线核实）,B,candidate
李清照,蝶恋花·晚止昌乐馆寄姊妹,宋,1121,1121,exact,2,昌乐,山东省昌乐县,山东省,118.829992,36.706774,cnkgraph 唐宋文学编年地图·李清照年历（据徐培均《李清照年谱》）,https://cnkgraph.com/Map/PoetLife?author=%E6%9D%8E%E6%B8%85%E7%85%A7,与已审核记录一致（审核系年1121，approved）；cnkgraph年历记“1121年，秋，清照赴莱州途径昌乐，有词寄姊妹”；古诗文网创作背景载两说（滞留青州寄莱州丈夫/赴莱途中昌乐寄姊妹），平慧善采昌乐说系于1121年8月（https://so.gushiwen.cn/shiwenv_ba87db9a6f2b.aspx（经 so.gushiwen.cn 官方重定向站 guwendao.net 在线核实）），年份两说一致,B,superseded_by_verified
