poet,title,dynasty,year_start,year_end,year_precision,period,historical_place,modern_city,province,lon,lat,source_name,source_url,source_note,fact_grade,status
陆游,钗头凤·红酥手,宋,1151,1155,disputed,1,山阴沈园,绍兴市,浙江省,120.5902,30.0044,cnkgraph开放API年谱+古诗文网创作背景,https://open.cnkgraph.com/api/Biography?Author=%E9%99%86%E6%B8%B8,cnkgraph开放API年谱按于北山《陆游年谱》将沈园题壁《钗头凤》系于1155年（绍兴二十五年）三月，并注两说：钱仲联、陈桂生《放翁词校注》系于绍兴二十一年（1151），夏承焘、吴熊和《放翁词编年笺注》系于1151-1155年间，故取1151-1155区间并标disputed；古诗文网创作背景（https://www.gushiwen.cn/shiwenv_d5ac0bd52789.aspx）仅叙沈园邂逅题壁情节未给年份；坐标取已审核poet_journeys沈园节点。2026-07-26在线核实。,B,candidate
陆游,卜算子·咏梅,宋,,,unknown,,,,,,,古诗文网创作背景,https://www.gushiwen.cn/shiwenv_2523dc7baa84.aspx,未找到可靠系年：古诗文网创作背景仅泛论其一生以梅寄志，未给年份与地点；cnkgraph开放API年谱（https://open.cnkgraph.com/api/Biography?Author=%E9%99%86%E6%B8%B8）逐年作品目录未收此词。不作猜测系年。2026-07-26在线核实。,D,candidate
陆游,书愤,宋,1186,1186,exact,3,山阴,绍兴市,浙江省,120.588427,29.9952,cnkgraph开放API年谱+古诗文网创作背景,https://open.cnkgraph.com/api/Biography?Author=%E9%99%86%E6%B8%B8,cnkgraph开放API年谱：1186年三月在山阴作《书愤》（早岁那知世事艰，姑系于三月），自抒爱国情感；古诗文网创作背景（https://www.gushiwen.cn/shiwenv_7c14409ca751.aspx）：1186年（淳熙十三年）春居山阴时作、时年六十一罢官已六年。与已审核verified_poem_contexts之1186年记录一致。2026-07-26在线核实。,B,superseded_by_verified
陆游,游山西村,宋,1167,1167,exact,1,山阴,绍兴市,浙江省,120.588427,29.9952,cnkgraph开放API年谱+古诗文网创作背景,https://open.cnkgraph.com/api/Biography?Author=%E9%99%86%E6%B8%B8,cnkgraph开放API年谱：《游山西村》系1167年一月，山阴乡居；古诗文网创作背景（https://www.gushiwen.cn/shiwenv_09294abb5f67.aspx）：1167年（乾道三年）初春罢官闲居山阴时作。与已审核verified_poem_contexts之1167年记录一致。2026-07-26在线核实。,B,superseded_by_verified
陆游,临安春雨初霁,宋,1186,1186,exact,3,临安,杭州市,浙江省,120.136699,30.265924,cnkgraph开放API年谱+古诗文网创作背景,https://open.cnkgraph.com/api/Biography?Author=%E9%99%86%E6%B8%B8,cnkgraph开放API年谱：1186年三月赴严州任前于临安（馆于西湖上）作《临安春雨初霁》；古诗文网创作背景（https://www.gushiwen.cn/shiwenv_0ccd54b5b58a.aspx）：1186年春奉诏入京受严州知州职、住西湖边客栈时作。与已审核verified_poem_contexts之1186年记录一致。2026-07-26在线核实。,B,superseded_by_verified
陆游,示儿,宋,1209,1209,exact,4,山阴,绍兴市,浙江省,120.588427,29.9952,cnkgraph开放API年谱+古诗文网创作背景,https://open.cnkgraph.com/api/Biography?Author=%E9%99%86%E6%B8%B8,cnkgraph开放API年谱：1209年十二月二十九日临终赋《示儿》（死去元知万事空）后逝世；古诗文网创作背景（https://www.gushiwen.cn/shiwenv_966c8a76211f.aspx）作1210年，系农历嘉定二年十二月二十九日之公历折算（1210年1月），两源实指同一日。与已审核verified_poem_contexts之1209年记录一致。2026-07-26在线核实。,B,superseded_by_verified
陆游,诉衷情·当年万里觅封侯,宋,1189,1201,approximate,4,山阴,绍兴市,浙江省,120.588427,29.9952,古诗文网创作背景,https://www.gushiwen.cn/shiwenv_264d7fe426e8.aspx,古诗文网创作背景：1189年（淳熙十六年）被弹劾罢官后退隐山阴故居长达十二年，此词作于这期间、具体创作时间不详，故取1189-1201区间；cnkgraph开放API年谱（https://open.cnkgraph.com/api/Biography?Author=%E9%99%86%E6%B8%B8）逐年作品目录未收此词。词咏1172年南郑军旅旧事而作于晚年退居时。2026-07-26在线核实。,B,candidate
陆游,冬夜读书示子聿,宋,1199,1199,exact,4,山阴,绍兴市,浙江省,120.588427,29.9952,cnkgraph开放API年谱+古诗文网创作背景,https://open.cnkgraph.com/api/Biography?Author=%E9%99%86%E6%B8%B8,cnkgraph开放API年谱：《冬夜读书示子聿八首》系1199年十二月，山阴（语料所收古人学问无遗力篇为组诗之一）；古诗文网创作背景（https://www.gushiwen.cn/shiwenv_51c560529d2a.aspx）：1199年（庆元五年）于山阴写给小儿子陆聿。两源一致。2026-07-26在线核实。,B,candidate
陆游,十一月四日风雨大作二首,宋,1192,1192,exact,4,山阴,绍兴市,浙江省,120.588427,29.9952,cnkgraph开放API年谱+古诗文网创作背景,https://open.cnkgraph.com/api/Biography?Author=%E9%99%86%E6%B8%B8,cnkgraph开放API年谱：1192年十一月四日作《十一月四日风雨大作》二首（风卷江湖雨闇村、僵卧孤村不自哀），山阴；古诗文网创作背景（https://www.gushiwen.cn/shiwenv_38c4a0c84fe9.aspx）：1192年（绍熙三年）十一月四日、1189年罢官后闲居山阴时作。与已审核verified_poem_contexts之1192年记录一致。2026-07-26在线核实。,B,superseded_by_verified
陆游,沈园二首·其一,宋,1199,1199,exact,4,山阴沈园,绍兴市,浙江省,120.5902,30.0044,cnkgraph开放API年谱+古诗文网创作背景,https://open.cnkgraph.com/api/Biography?Author=%E9%99%86%E6%B8%B8,cnkgraph开放API年谱：1199年三月春季赋《沈园》二绝（城上斜阳画角哀），山阴；古诗文网创作背景（https://www.gushiwen.cn/shiwenv_c69e5720e858.aspx）引《齐东野语》盖庆元己未也，即1199年、陆游七十五岁。两源一致；坐标取已审核poet_journeys沈园节点。2026-07-26在线核实。,B,candidate
