poet,title,dynasty,year_start,year_end,year_precision,period,historical_place,modern_city,province,lon,lat,source_name,source_url,source_note,fact_grade,status
苏轼,和子由渑池怀旧,宋,1061,1061,exact,1,渑池,三门峡市渑池县,河南省,111.762,34.767,cnkgraph开放API年谱+古诗文网创作背景,https://open.cnkgraph.com/api/Biography?Author=%E8%8B%8F%E8%BD%BC,cnkgraph开放API年谱：1061年赴凤翔签判任途中过渑池、和弟辙渑池怀旧诗（《苏轼诗集》卷三）；古诗文网创作背景（https://www.gushiwen.cn/shiwenv_31bc973d596d.aspx）未给年份但情节一致（赴凤翔经渑池而作）；坐标取自已审核poet_journeys同一节点。2026-07-26在线核实。,B,candidate
苏轼,江城子·乙卯正月二十日夜记梦,宋,1075,1075,exact,2,密州,潍坊市诸城市,山东省,119.416435,36.004748,古诗文网创作背景+cnkgraph开放API年谱,https://www.gushiwen.cn/shiwenv_567fcf6ffefb.aspx,古诗文网创作背景：宋神宗熙宁八年（1075）苏轼知密州时作，正月二十日夜梦亡妻王弗；cnkgraph开放API年谱（https://open.cnkgraph.com/api/Biography?Author=%E8%8B%8F%E8%BD%BC）：1075年一月二十日在诸城任密州知州赋《江神子》怀亡妻王弗。两源一致。2026-07-26在线核实。,B,candidate
苏轼,江城子·密州出猎,宋,1075,1075,exact,2,密州,潍坊市诸城市,山东省,119.416435,36.004748,古诗文网创作背景+cnkgraph开放API年谱,https://www.gushiwen.cn/shiwenv_85b8792a66ac.aspx,古诗文网创作背景：作于公元1075年（神宗熙宁八年）作者在密州任知州时；cnkgraph开放API年谱（https://open.cnkgraph.com/api/Biography?Author=%E8%8B%8F%E8%BD%BC）：1075年（十月祭常山回小猎、会猎铁沟后）在诸城赋《江神子·猎词》，作时考证据《苏轼全集校注》词集第137页。两源一致。2026-07-26在线核实。,B,candidate
苏轼,水调歌头·明月几时有,宋,1076,1076,exact,2,密州超然台,潍坊市诸城市,山东省,119.416435,36.004748,cnkgraph开放API年谱+古诗文网,https://open.cnkgraph.com/api/Biography?Author=%E8%8B%8F%E8%BD%BC,cnkgraph开放API年谱：1076年八月十五日在诸城任密州知州、饮超然台赋《水调歌头》兼怀弟辙。与已审核记录年份1076一致。2026-07-26在线核实。,B,superseded_by_verified
苏轼,望江南·超然台作,宋,1076,1076,exact,2,密州超然台,潍坊市诸城市,山东省,119.416435,36.004748,cnkgraph开放API年谱+古诗文网,https://open.cnkgraph.com/api/Biography?Author=%E8%8B%8F%E8%BD%BC,cnkgraph开放API年谱：1076年寒食后在诸城登超然台赋《望江南》（题作暮春）。与已审核记录年份1076一致。2026-07-26在线核实。,B,superseded_by_verified
苏轼,饮湖上初晴后雨,宋,1073,1073,exact,2,钱塘西湖,杭州市,浙江省,120.139058,30.251772,cnkgraph开放API年谱+古诗文网,https://open.cnkgraph.com/api/Biography?Author=%E8%8B%8F%E8%BD%BC,cnkgraph开放API年谱：1073年在钱塘为杭州通判，饮湖上遇初晴后雨作诗二首（《苏轼诗集》卷九）。与已审核记录年份1073一致。2026-07-26在线核实。,B,superseded_by_verified
苏轼,卜算子·黄州定慧院寓居作,宋,1080,1080,exact,3,黄州定慧院,黄冈市,湖北省,114.878872,30.459422,cnkgraph开放API年谱+古诗文网,https://open.cnkgraph.com/api/Biography?Author=%E8%8B%8F%E8%BD%BC,cnkgraph开放API年谱：1080年在黄冈任黄州团练副使作《卜算子》（缺月挂疏桐），张耒、黄庭坚尝题其后。与已审核记录年份1080一致。2026-07-26在线核实。,B,superseded_by_verified
苏轼,定风波·莫听穿林打叶声,宋,1082,1082,exact,3,黄州沙湖道中,黄冈市,湖北省,114.878872,30.459422,cnkgraph开放API年谱+古诗文网,https://open.cnkgraph.com/api/Biography?Author=%E8%8B%8F%E8%BD%BC,cnkgraph开放API年谱：1082年三月七日在黄冈往沙湖相田、道中遇雨作《定风波》，与词序相合。与已审核记录年份1082一致。2026-07-26在线核实。,B,superseded_by_verified
苏轼,念奴娇·赤壁怀古,宋,1082,1082,exact,3,黄州赤壁,黄冈市,湖北省,114.878872,30.459422,cnkgraph开放API年谱+古诗文网,https://open.cnkgraph.com/api/Biography?Author=%E8%8B%8F%E8%BD%BC,cnkgraph开放API年谱：1082年七月在黄冈任黄州团练副使、赤壁怀古赋《念奴娇》（大江东去）。与已审核记录年份1082一致。2026-07-26在线核实。,B,superseded_by_verified
苏轼,赤壁赋,宋,1082,1082,exact,3,黄州赤壁,黄冈市,湖北省,114.878872,30.459422,cnkgraph开放API年谱+古诗文网,https://open.cnkgraph.com/api/Biography?Author=%E8%8B%8F%E8%BD%BC,cnkgraph开放API年谱：1082年七月十七至十八日在黄冈与客泛舟赤壁作《赤壁赋》（作时据《苏轼全集校注》文集一第29页考证）。与已审核记录年份1082一致。2026-07-26在线核实。,B,superseded_by_verified
苏轼,临江仙·夜归临皋,宋,1082,1082,exact,3,黄州临皋亭,黄冈市,湖北省,114.878872,30.459422,cnkgraph开放API年谱+古诗文网,https://open.cnkgraph.com/api/Biography?Author=%E8%8B%8F%E8%BD%BC,cnkgraph开放API年谱：1082年九月在黄冈任黄州团练副使、夜归临皋赋《临江仙》（夜饮东坡醒复醉）。与已审核记录年份1082一致。2026-07-26在线核实。,B,superseded_by_verified
苏轼,浣溪沙·游蕲水清泉寺,宋,1082,1082,exact,3,蕲水清泉寺,黄冈市,湖北省,115.265,30.452,cnkgraph开放API年谱+古诗文网,https://open.cnkgraph.com/api/Biography?Author=%E8%8B%8F%E8%BD%BC,cnkgraph开放API年谱：1082年三月在黄冈（据《书清泉寺词》）、至蕲水与庞安时游清泉寺赋《浣溪沙》。与已审核记录年份1082一致。2026-07-26在线核实。,B,superseded_by_verified
苏轼,记承天寺夜游,宋,1083,1083,exact,3,黄州承天寺,黄冈市,湖北省,114.878872,30.459422,古诗文网创作背景+cnkgraph开放API年谱,https://www.gushiwen.cn/shiwenv_221828a8f12d.aspx,古诗文网创作背景：写于宋神宗元丰六年（1083），时苏轼贬黄州近四年，与谪居黄州暂寓承天寺的张怀民夜游；cnkgraph开放API年谱（https://open.cnkgraph.com/api/Biography?Author=%E8%8B%8F%E8%BD%BC）：1083年十月十二日夜在黄冈至承天寺与张怀民游、有记（《苏轼文集》卷七十一，题《记承天夜游》）。两源一致。2026-07-26在线核实。,B,candidate
苏轼,题西林壁,宋,1084,1084,exact,3,庐山西林寺,九江市,江西省,116.007993,29.711328,cnkgraph开放API年谱+古诗文网,https://open.cnkgraph.com/api/Biography?Author=%E8%8B%8F%E8%BD%BC,cnkgraph开放API年谱：1084年赴汝州团练副使任途中往来庐山南北、与东林常总同游西林并题壁（《苏轼诗集》卷二十三）。与已审核记录年份1084一致。2026-07-26在线核实。,B,superseded_by_verified
苏轼,临江仙·送钱穆父,宋,1091,1091,exact,4,杭州,杭州市,浙江省,120.16,30.29,古诗文网创作背景+cnkgraph开放API年谱,https://www.gushiwen.cn/shiwenv_330cfc1476ad.aspx,古诗文网创作背景：公元1091年（元祐六年）春苏轼知杭州时，为送别徙知瀛洲途经杭州的老友钱勰（穆父）而作；cnkgraph开放API年谱（https://open.cnkgraph.com/api/Biography?Author=%E8%8B%8F%E8%BD%BC）：1091年三月在钱塘（将回京赴翰林学士承旨任）送钱勰《临江仙》词。两源一致。2026-07-26在线核实。,B,candidate
苏轼,定风波·南海归赠王定国侍人寓娘,宋,1083,1086,disputed,4,,,,,,古诗文网创作背景+cnkgraph开放API年谱,https://www.gushiwen.cn/shiwenv_f08f2f570c7d.aspx,系年两说：其一，古诗文网创作背景：1083年（元丰六年）王巩自宾州北归、出柔奴劝酒时作；其二，亦有学者认为作于1085年（元丰八年）十二月苏轼召还到京与王巩会宴席上，cnkgraph开放API年谱（https://open.cnkgraph.com/api/Biography?Author=%E8%8B%8F%E8%BD%BC）即系于1086年在开封任起居舍人时王巩席上。主展示从还京会宴说归第4期（若从1083说则属第3期黄州时期）；作地随两说而异（黄州或开封），坐标留空。2026-07-26在线核实。,B,candidate
苏轼,行香子·述怀,宋,1086,1093,approximate,4,,,,,,古诗文网创作背景+cnkgraph开放API年谱,https://www.gushiwen.cn/shiwenv_d72471ddf8ee.aspx,古诗文网创作背景：写作时间不可确考，应是宋哲宗元祐时期（1086-1093）的作品；cnkgraph开放API年谱（https://open.cnkgraph.com/api/Biography?Author=%E8%8B%8F%E8%BD%BC）将其与《行香子·寓意》同系于1093年在安喜（定州）任定州知州时。取1086-1093区间，具体年份与作地不确定，坐标留空。2026-07-26在线核实。,B,candidate
