poet,title,dynasty,year_start,year_end,historical_place,modern_city,province,lon,lat,source_name,source_url,source_note,fact_grade,status
李白,早发白帝城,唐,759,759,夔州白帝城,重庆市奉节县,重庆市,109.580403,31.050156,古籍文献知识图谱开放API（据《李太白年谱补正》）,https://open.cnkgraph.com/api/Writing/25562,API年谱条目标注759年三月流放途中遇赦后自白帝城返江陵。,B,approved
李白,望庐山瀑布,唐,725,725,庐山,九江市,江西省,115.989402,29.560618,古籍文献知识图谱开放API（据郁贤皓《李太白全集校注》）,https://open.cnkgraph.com/api/Writing/26355,API年谱条目标注725年登庐山作《望庐山瀑布二首》；当前语料收录其代表篇。,B,approved
李白,登金陵凤凰台,唐,747,747,金陵凤凰台,南京市,江苏省,118.802891,32.064735,古籍文献知识图谱开放API（据《李太白年谱补正》）,https://open.cnkgraph.com/api/Writing/25793,API年谱条目标注747年在金陵登凤凰台作诗；作品编年存在研究空间，按B级使用。,B,approved
李白,黄鹤楼送孟浩然之广陵,唐,728,728,江夏黄鹤楼,武汉市,湖北省,114.309053,30.550232,古籍文献知识图谱开放API（据郁贤皓《李太白全集校注》）,https://open.cnkgraph.com/api/Writing/25660,API年谱条目标注728年在江夏遇孟浩然并作诗；另有开元十五年说，故降为B级。,B,approved
杜甫,客至,唐,761,764,成都浣花草堂,成都市,四川省,104.071216,30.576279,古籍文献知识图谱开放API（据人民文学出版社《杜甫全集校注》）,https://open.cnkgraph.com/api/Writing/30896,API作品年代标为761至764年并说明草堂既成后有客来访，保留区间。,B,approved
杜甫,春夜喜雨,唐,761,762,成都浣花草堂,成都市,四川省,104.071216,30.576279,古籍文献知识图谱开放API（据人民文学出版社《杜甫全集校注》）,https://open.cnkgraph.com/api/Writing/30930,API主系761年并注明另有762年编年意见，因此使用区间并降为B级。,B,approved
杜甫,春望,唐,757,757,长安,西安市,陕西省,108.946306,34.347436,古籍文献知识图谱开放API（据人民文学出版社《杜甫全集校注》）,https://open.cnkgraph.com/api/Writing/30932,API年谱条目标注757年春陷于长安时感时而作。,B,approved
杜甫,登岳阳楼,唐,768,768,岳阳楼,岳阳市,湖南省,113.135679,29.363262,古籍文献知识图谱开放API（据人民文学出版社《杜甫全集校注》）,https://open.cnkgraph.com/api/Writing/31189,API年谱条目标注768年登岳阳楼览洞庭而作。,B,approved
杜甫,登高,唐,767,767,夔州,重庆市奉节县,重庆市,109.470533,31.024561,古籍文献知识图谱开放API（据人民文学出版社《杜甫全集校注》）,https://open.cnkgraph.com/api/Writing/31190,API年谱条目标注767年九月九日在夔州作《登高》。,B,approved
杜甫,石壕吏,唐,759,759,陕州石壕镇,三门峡市,河南省,111.109829,34.72676,古籍文献知识图谱开放API（据人民文学出版社《杜甫全集校注》）,https://open.cnkgraph.com/api/Writing/31491,API年谱条目标注759年春自洛阳返华州途中经石壕作诗。,B,approved
杜甫,茅屋为秋风所破歌,唐,761,761,成都浣花草堂,成都市,四川省,104.071216,30.576279,古籍文献知识图谱开放API（据人民文学出版社《杜甫全集校注》）,https://open.cnkgraph.com/api/Writing/31620,API年谱条目标注761年成都草堂遭秋风破屋后作诗。,B,approved
杜甫,蜀相,唐,760,760,成都武侯祠,成都市,四川省,104.071216,30.576279,古籍文献知识图谱开放API（据人民文学出版社《杜甫全集校注》）,https://open.cnkgraph.com/api/Writing/31205,API年谱条目标注760年定居成都草堂后游武侯祠作诗。,B,approved
